sketch,Cosine of initial angle,Sine of initial angle,Length of bounding box diagonal,Angle of bounding box diagonal,Distance between first and last points,Cosine of angle between first and last points,Sine of angle between first and last points,Total gesture length,Total angle traversed,Absolute sum of angles traversed,Squared sum of angles traversed,Maximum speed of gesture,Total duration of gesture,drop_this
b,6.123233995736766e-17,1.0,99.04544411531506,0.9575889779203872,65.06919393998976,0.0461047666084009,0.9989366098486856,297.47375214198814,-3.141592653589793,10.83971925797962,13.307151929468596,0.95703125,703.0,9
c,-0.7071067811865475,-0.7071067811865476,89.05054744357274,0.9609903253476284,58.52349955359813,0.2904816036236987,0.9568805766427724,140.412190409174,5.270988295728252,8.763765273218405,6.425464125521258,0.4844444444444444,406.0,1
c,-0.5547001962252289,-0.8320502943378438,96.25487000666512,1.0000830666055374,61.1310068623117,-0.2617329702427047,0.9651403277699732,153.1588442808702,4.653633157668968,5.048424277368729,1.7553428708849383,0.6488888888888888,328.0,10
c,-0.7071067811865475,-0.7071067811865476,84.38009243891595,1.0222469243443686,63.953107821277925,-0.1720010234802095,0.9850967708412004,128.79382243547508,4.390638425988048,6.3211417523679,2.778060576268621,0.2577777777777778,375.0,11
c,-0.7071067811865475,-0.7071067811865476,77.80102827083971,0.9221538751283528,50.48762224545735,0.1386478445344061,0.9903417466743302,134.36493389970454,3.141592653589793,11.1100390806729,10.831216812572617,0.2888888888888888,453.0,12
c,-0.9805806756909202,-0.1961161351381838,108.04628637764463,1.0367259475582886,87.0,6.123233995736766e-17,1.0,168.38541493656572,3.141592653589794,6.528120698436008,3.2573677662985583,0.4444444444444444,407.0,13
c,-0.8944271909999159,-0.4472135954999581,122.64175471673585,0.953390435043324,79.42921376924235,-0.1888473936501245,0.9820064469806472,198.96096967020992,3.926990816987241,9.469111228398202,6.461363026735943,0.68,485.0,14
c,-0.8320502943378437,-0.5547001962252291,96.82974749528164,0.9025069079643124,54.147945482723536,0.0738716855153118,0.997267754456709,175.3990507107757,4.390638425988048,5.034139534781332,1.5120194064035393,0.58203125,390.0,15
c,-0.8944271909999159,-0.4472135954999581,108.16653826391968,0.982793723247329,78.64477096412705,-0.2034464568190838,0.9790860734418404,170.65836625910072,4.390638425988048,6.927686082417611,2.6458099655467,0.68,422.0,16
c,-0.9486832980505138,-0.316227766016838,108.00462953040486,0.9365542126637352,77.6659513557904,-0.2060104810498418,0.978549784986749,169.70430301504467,4.71238898038469,10.418669900150164,7.635147550353688,0.625,438.0,17
c,-0.242535625036333,0.970142500145332,140.470637501223,1.081676521283368,96.17692030835671,0.1559625734730108,0.987762965329069,280.24827575584493,3.605240262590599,11.796033886334346,11.195536119545269,0.53515625,750.0,18
c,6.123233995736766e-17,1.0,117.99152511939153,1.0274698579685673,70.06425622241343,-0.0428178383921857,0.9990828958176696,234.49093444209075,3.141592653589793,14.280324097235363,8.633027163936372,0.68,828.0,19
c,-0.9284766908852592,-0.3713906763541038,67.47592163134935,0.879853098792495,47.53945729601885,-0.2524218971470027,0.967617272396844,108.45666106077992,3.4633432079864352,4.237094643448492,1.5849259183654674,0.19140625,312.0,2
c,-0.0995037190209989,0.9950371902099892,91.2414379544733,1.092443895416239,55.22680508593631,0.0905357460425186,0.995893206467704,182.3130743559816,3.1415926535897936,12.116294041373958,11.002680441285284,0.33203125,781.0,20
c,-0.7071067811865475,-0.7071067811865476,65.45991139621256,0.9700825434839028,49.8196748283246,-0.1806515203283326,0.9835471662320328,107.24880184859865,4.71238898038469,6.283185307179586,4.795656199914911,0.2888888888888888,375.0,3
c,-0.8,-0.6,114.62111498323507,0.9464900679350288,76.32168761236873,-0.0917170494912586,0.995785108762236,192.2438472006721,3.141592653589793,9.514187168717044,7.302593492946921,0.75390625,437.0,4
c,-1.0,1.2246467991473532e-16,94.36630754670864,0.7028792089644667,64.41273166075166,-0.4657464328326224,0.8849182223819824,149.66492612896135,3.1415926535897936,4.758892226005616,1.450358070069257,0.40625,437.0,5
c,-0.8682431421244591,-0.496138938356834,97.082439194738,0.8509973352284871,63.69458375717672,-0.3767981292019327,0.9262954009547514,155.4816158660944,4.193242866138167,5.061358744316602,1.8407256074789564,0.4140625,422.0,6
c,6.123233995736766e-17,-1.0,75.0066663703967,0.8231161158643125,34.438350715445125,0.4355609281042807,0.9001592514155135,133.0922855581463,6.283185307179586,11.063245501674269,8.99748733945436,0.3244444444444444,500.0,7
c,-0.7071067811865475,-0.7071067811865476,100.60318086422517,0.9193430993441112,68.15423684555495,-0.2494342360332473,0.968391739893784,160.5345824473384,5.497787143782138,5.886063628541888,3.0786595615960453,0.66015625,375.0,8
c,-0.8574929257125442,-0.5144957554275266,87.8179936004006,1.0460005551447893,62.12889826803627,-0.064382277997965,0.9979253089684582,142.97020884363508,5.497787143782138,7.995878688578647,5.173953534721482,0.33203125,375.0,9
d,-0.1961161351381841,0.98058067569092,136.12494260788506,1.2025676410472514,124.90396310766124,-0.1200922663043984,0.9927627347830263,236.9563699901519,8.317629242975288,10.801829070763151,12.636628071811248,0.7511111111111111,750.0,1
d,6.123233995736766e-17,1.0,96.77293009927932,1.1672613917802583,76.02631123499285,0.0263066820882327,0.9996539193528472,196.2849868824017,9.42477796076938,13.098874712661022,17.628558672021402,0.47265625,703.0,10
d,-0.4472135954999579,0.8944271909999159,96.56603957913984,1.2981865068142746,85.00588214941364,-0.0117638918003615,0.9999308030307444,175.3816770074048,10.210176124166829,12.452731767806734,16.84093778581102,0.4488888888888889,860.0,11
d,6.123233995736766e-17,1.0,119.85407794480751,1.256961174366988,105.04284840006956,-0.0285597738988769,0.9995920864606948,233.9417033282139,3.1415926535897927,9.891525497272966,11.773927640904567,0.64,750.0,12
d,6.123233995736766e-17,1.0,103.81714694596457,1.206388737649694,89.00561780022652,0.0112352458722829,0.9999368826331936,214.6512967562484,9.42477796076938,10.58058183469387,13.62001822785375,0.5377777777777778,735.0,13
d,0.7071067811865476,0.7071067811865475,85.42247947700886,1.0966778962893935,45.70557952810576,0.1750333347174945,0.9845625077859068,197.80570463541855,7.853981633974483,13.07879684650805,15.706744031344105,0.3244444444444444,735.0,14
d,6.123233995736766e-17,1.0,101.59232254457028,1.2085694490881256,83.00602387778854,-0.0120473184147732,0.99992742842619,199.9342681359443,9.42477796076938,12.677367624850604,14.91761673019451,0.64,750.0,15
